service_id,date,exception_type
152201,20170626,1
1101,20170626,1
92601,20170626,1
155601,20170626,1
152201,20170627,1
1101,20170627,1
92601,20170627,1
155601,20170627,1
152201,20170628,1
1101,20170628,1
92601,20170628,1
155601,20170628,1
152201,20170629,1
1101,20170629,1
92601,20170629,1
155601,20170629,1
152301,20170630,1
32501,20170630,1
1201,20170630,1
92601,20170630,1
155601,20170630,1
92403,20170701,1
32603,20170701,1
3,20170701,1
2,20170701,2
32603,20170702,1
152201,20170703,1
1101,20170703,1
152201,20170704,1
1101,20170704,1
92601,20170704,1
155601,20170704,1
152201,20170705,1
1101,20170705,1
92601,20170705,1
155601,20170705,1
152201,20170706,1
1101,20170706,1
92601,20170706,1
155601,20170706,1
152301,20170707,1
32501,20170707,1
1201,20170707,1
92601,20170707,1
155601,20170707,1
32603,20170709,1
152201,20170710,1
1101,20170710,1
92601,20170710,1
155601,20170710,1
152201,20170711,1
1101,20170711,1
92601,20170711,1
155601,20170711,1
152201,20170712,1
1101,20170712,1
92601,20170712,1
155601,20170712,1
152201,20170713,1
1101,20170713,1
92601,20170713,1
155601,20170713,1
152301,20170714,1
32501,20170714,1
1201,20170714,1
92601,20170714,1
155601,20170714,1
32603,20170716,1
152201,20170717,1
1101,20170717,1
92601,20170717,1
155601,20170717,1
152201,20170718,1
1101,20170718,1
92601,20170718,1
155601,20170718,1
152201,20170719,1
1101,20170719,1
92601,20170719,1
155601,20170719,1
152201,20170720,1
1101,20170720,1
92601,20170720,1
155601,20170720,1
152301,20170721,1
32501,20170721,1
1201,20170721,1
92601,20170721,1
155601,20170721,1
32603,20170723,1
152201,20170724,1
1101,20170724,1
92601,20170724,1
155601,20170724,1
152201,20170725,1
1101,20170725,1
92601,20170725,1
155601,20170725,1
152201,20170726,1
1101,20170726,1
92601,20170726,1
155601,20170726,1
152201,20170727,1
1101,20170727,1
92601,20170727,1
155601,20170727,1
152301,20170728,1
32501,20170728,1
1201,20170728,1
92601,20170728,1
155601,20170728,1
32603,20170730,1
152201,20170731,1
1101,20170731,1
92601,20170731,1
155601,20170731,1
152201,20170801,1
1101,20170801,1
92601,20170801,1
155601,20170801,1
152201,20170802,1
1101,20170802,1
92601,20170802,1
155601,20170802,1
152201,20170803,1
1101,20170803,1
92601,20170803,1
155601,20170803,1
152301,20170804,1
32501,20170804,1
1201,20170804,1
92601,20170804,1
155601,20170804,1
1803,20170806,1
32603,20170807,1
3,20170807,1
1,20170807,2
152201,20170808,1
1101,20170808,1
92601,20170808,1
155601,20170808,1
152201,20170809,1
1101,20170809,1
92601,20170809,1
155601,20170809,1
152201,20170810,1
1101,20170810,1
92601,20170810,1
155601,20170810,1
152301,20170811,1
32501,20170811,1
1201,20170811,1
92601,20170811,1
155601,20170811,1
32603,20170813,1
152201,20170814,1
1101,20170814,1
92601,20170814,1
155601,20170814,1
152201,20170815,1
1101,20170815,1
92601,20170815,1
155601,20170815,1
152201,20170816,1
1101,20170816,1
92601,20170816,1
155601,20170816,1
152201,20170817,1
1101,20170817,1
92601,20170817,1
155601,20170817,1
152301,20170818,1
32501,20170818,1
1201,20170818,1
92601,20170818,1
155601,20170818,1
49602,20170819,1
49603,20170820,1
32603,20170820,1
152201,20170821,1
1101,20170821,1
92601,20170821,1
155601,20170821,1
152201,20170822,1
49601,20170822,1
1101,20170822,1
92601,20170822,1
155601,20170822,1
152201,20170823,1
49601,20170823,1
1101,20170823,1
92601,20170823,1
155601,20170823,1
152201,20170824,1
49601,20170824,1
1101,20170824,1
92601,20170824,1
155601,20170824,1
152301,20170825,1
32501,20170825,1
49601,20170825,1
1201,20170825,1
92601,20170825,1
155601,20170825,1
49602,20170826,1
49603,20170827,1
32603,20170827,1
152201,20170828,1
1101,20170828,1
92601,20170828,1
155601,20170828,1
152201,20170829,1
49601,20170829,1
1101,20170829,1
92601,20170829,1
155601,20170829,1
152201,20170830,1
49601,20170830,1
1101,20170830,1
92601,20170830,1
155601,20170830,1
152201,20170831,1
49601,20170831,1
1101,20170831,1
92601,20170831,1
155601,20170831,1
152301,20170901,1
32501,20170901,1
49601,20170901,1
1201,20170901,1
92601,20170901,1
155601,20170901,1
49602,20170902,1
49603,20170903,1
1803,20170903,1
