route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
31324,CMBC,002,MACDONALD/DOWNTOWN , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt002.pdf, , 
31325,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt003.pdf, , 
31326,CMBC,004,POWELL/DOWNTOWN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt004.pdf, , 
31327,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt005.pdf, , 
31328,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt006.pdf, , 
31329,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt007.pdf, , 
31330,CMBC,008,FRASER/DOWNTOWN               , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt008.pdf, , 
31331,CMBC,009,BDRY/COMM-BWY/GRAN/ALMA/UBC  , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt009.pdf, , 
31332,CMBC,010,GRANVILLE/DOWNTOWN          , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt010.pdf, , 
31333,CMBC,014,HASTINGS/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt014.pdf, , 
31334,CMBC,015,CAMBIE/OLYMPIC VILLAGE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt015.pdf, , 
31335,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt016.pdf, , 
31336,CMBC,017,OAK/DOWNTOWN                   , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt017.pdf, , 
31337,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt019.pdf, , 
31338,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt020.pdf, , 
31339,CMBC,022,KNIGHT/DOWNTOWN           , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt022.pdf, , 
31340,CMBC,023,MAIN ST STN/YALETOWN/BEACH, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt023.pdf, , 
31341,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt025.pdf, , 
31342,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt026.pdf, , 
31343,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt027.pdf, , 
31344,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt028.pdf, , 
31345,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt029.pdf, , 
31346,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt032.pdf, , 
31347,CMBC,033,29 AVE STN/ UBC, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt033.pdf, , 
31348,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt041.pdf, , 
31349,CMBC,043,JOYCE STN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt043.pdf, , 
31350,CMBC,044,UBC/DOWNTOWN                    , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt044.pdf, , 
31351,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt049.pdf, , 
31352,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt050.pdf, , 
31353,CMBC,084,UBC/VCC STATION, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt084.pdf, , 
31354,CMBC,095,SFU/BURRARD STN (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/135/tt095.pdf, , 
31355,CMBC,096,GUILDFORD EX/ NEWTON EX (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/135/tt096.pdf, , 
31356,CMBC,099,COMMERCIAL-BROADWAY/UBC (B-LINE)  , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt099.pdf, , 
31357,CMBC,100,22ND ST STN/MARPOLE LOOP , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt100.pdf, , 
31358,CMBC,101,LOUGHEED STN/22ND ST STN      , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt101.pdf, , 
31359,CMBC,104,22ND ST STN/ANNACIS ISLAND, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt104.pdf, , 
31360,CMBC,106,NEW WESTMINSTER STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt106.pdf, , 
31361,CMBC,110,LOUGHEED STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt110.pdf, , 
31362,CMBC,112,EDMONDS STN/NEW WEST STN       , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt112.pdf, , 
31363,CMBC,116,EDMONDS STN/METROTOWN STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt116.pdf, , 
31364,CMBC,123,NEW WEST STN/BRENTWOOD STN , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt123.pdf, , 
31365,CMBC,125,PATTERSON STN/BCIT, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt125.pdf, , 
31366,CMBC,128,BRAID STN/22ND STREET STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt128.pdf, , 
31367,CMBC,129,PATTERSON STN/EDMONDS STN , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt129.pdf, , 
31368,CMBC,130,METROTOWN/HASTINGS/KOOTENAY/CAP U, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt130.pdf, , 
31369,CMBC,134,LAKE CITY STN/BRENTWOOD STN   , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt134.pdf, , 
31370,CMBC,136,LOUGHEED STN/BRENTWOOD STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt136.pdf, , 
31371,CMBC,143,BURQUITLAM STN/SFU              , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt143.pdf, , 
31372,CMBC,144,SFU/METROTOWN STN              , ,3,http://infomaps.translink.ca/Public_Timetables/135/tt144.pdf, , 
31373,CMBC,145,SFU/PRODUCTION STN, ,3,http://infomaps.translink.ca/Public_Timetables/135/tt145.pdf, , 
